draft_year,round,pick_number,drafted_by,player_name,position,games_played,points,performance_score
2015,6,154,Edmonton Oilers,John Marino,D,439.0,155.0,643.84
2015,6,155,Toronto Maple Leafs,Stephen Desrocher,D,0.0,0.0,0.0
2015,6,156,Carolina Hurricanes,Jake Massie,D,0.0,0.0,0.0
2015,6,157,New Jersey Devils,Brett Seney,L,66.0,14.0,98.06
2015,6,158,Philadelphia Flyers,Cooper Marody,C,7.0,1.0,9.29
2015,6,159,Columbus Blue Jackets,Vladislav Gavrikov,D,512.0,168.0,623.5
2015,6,160,San Jose Sharks,Adam Parsells,D,0.0,0.0,0.0
2015,6,161,Colorado Avalanche,Sergei Boikov,D,0.0,0.0,0.0
2015,6,162,Florida Panthers,Chris Wilkie,R,0.0,0.0,0.0
2015,6,164,Chicago Blackhawks,Roy Radke,R,0.0,0.0,0.0
2015,6,165,Boston Bruins,Cameron Hughes,C,3.0,0.0,3.0
2015,6,166,Calgary Flames,Andrew Mangiapane,L,557.0,259.0,735.08
2015,6,167,Pittsburgh Penguins,Frederik Tiffels,F,0.0,0.0,0.0
2015,6,168,Winnipeg Jets,Mason Appleton,C,465.0,152.0,622.49
2015,6,169,Carolina Hurricanes,David Cotton,C,0.0,0.0,0.0
2015,6,170,Detroit Red Wings,Patrick Holway,D,0.0,0.0,0.0
2015,6,171,Minnesota Wild,Nick Boka,D,0.0,0.0,0.0
2015,6,172,New York Islanders,AnDong Song,D,0.0,0.0,0.0
2015,6,173,Washington Capitals,Colby Williams,D,0.0,0.0,0.0
2015,6,174,Vancouver Canucks,Lukas Jasek,C,0.0,0.0,0.0
2015,6,175,Nashville Predators,Tyler Moy,F,0.0,0.0,0.0
2015,6,176,St. Louis Blues,Liam Dunda,R,0.0,0.0,0.0
2015,6,177,Montreal Canadiens,Simon Bourque,D,0.0,0.0,0.0
2015,6,178,Anaheim Ducks,Steven Ruggiero,D,0.0,0.0,0.0
2015,6,180,Tampa Bay Lightning,Bokondji Imama,L,33.0,2.0,37.58
2015,6,181,Chicago Blackhawks,Joni Tuulola,D,0.0,0.0,0.0
2015,7,182,Buffalo Sabres,Ivan Chukarov,D,0.0,0.0,0.0
2015,7,185,Toronto Maple Leafs,Nikita Korostelev,R,0.0,0.0,0.0
2015,7,186,Carolina Hurricanes,Steven Lorentz,C,376.0,78.0,525.12
2015,7,187,Los Angeles Kings,Chaz Reddekopp,D,0.0,0.0,0.0
2015,7,189,Columbus Blue Jackets,Markus Nutivaara,D,275.0,71.0,437.59
2015,7,190,San Jose Sharks,Marcus Vela,C,0.0,0.0,0.0
2015,7,191,Colorado Avalanche,Gustav Olhaver,C,0.0,0.0,0.0
2015,7,192,Florida Panthers,Patrick Shea,C,0.0,0.0,0.0
2015,7,194,Los Angeles Kings,Matt Roy,D,512.0,149.0,593.25
2015,7,195,Boston Bruins,Jack Becker,C,0.0,0.0,0.0
2015,7,196,Calgary Flames,Riley Bruce,D,0.0,0.0,0.0
2015,7,197,Pittsburgh Penguins,Nikita Pavlychev,C,0.0,0.0,0.0
2015,7,198,Winnipeg Jets,Sami Niku,D,67.0,16.0,103.64
2015,7,200,Detroit Red Wings,Adam Marsh,L,0.0,0.0,0.0
2015,7,201,Minnesota Wild,Gustav Bouramman,D,0.0,0.0,0.0
2015,7,202,New York Islanders,Petter Hansson,D,0.0,0.0,0.0
2015,7,203,Winnipeg Jets,Matteo Gennaro,C,0.0,0.0,0.0
2015,7,204,Minnesota Wild,Jack Sadek,D,0.0,0.0,0.0
2015,7,207,Montreal Canadiens,Jeremiah Addison,L,0.0,0.0,0.0
2015,7,209,Edmonton Oilers,Ziyat Paigin,D,0.0,0.0,0.0
